train_number_clean,train_name,from_station_code,from_station_name,to_station_code,to_station_name,distance_km,duration_hours,duration_minutes
51767,Katni Satna Passenger,KTE,KATNI,STA,SATNA,99.0,1.0,50.0
51768,Satna Katni Passenger,STA,SATNA,KTE,KATNI,99.0,2.0,20.0
51777,Gwalior Bhind Passenger,GWL,GWALIOR JN,BIX,BHIND,79.0,2.0,25.0
51778,Bhind Gwalior Passenger,BIX,BHIND,GWL,GWALIOR JN,79.0,2.0,30.0
51779,Gwalior Bhind Passenger,GWL,GWALIOR JN,BIX,BHIND,79.0,2.0,25.0
51780,Bhind Gwalior Passenger,BIX,BHIND,GWL,GWALIOR JN,79.0,2.0,35.0
51801,Mahoba Kanpur Pass,MBA,MAHOBA,CNB,KANPUR CENTRAL,199.0,5.0,5.0
51802,Kanpur Mahoba Passenger,CNB,KANPUR CENTRAL,MBA,MAHOBA,191.0,5.0,5.0
51803,Mahoba Banda Passenger,MBA,MAHOBA,BNDA,BANDA JN,53.0,1.0,5.0
51804,Banda Mahoba Passenger,BNDA,BANDA JN,MBA,MAHOBA,53.0,1.0,5.0
51805,Jhansi Banda Passenger,JHS,JHANSI JN,BNDA,BANDA JN,191.0,4.0,15.0
51806,Banda Jhansi Passenger,BNDA,BANDA JN,JHS,JHANSI JN,191.0,4.0,40.0
51807,Banda Manikpur Passenger,BNDA,BANDA JN,MKP,MANIKPUR JN,99.0,2.0,30.0
51808,Manikpur Banda Passenger,MKP,MANIKPUR JN,BNDA,BANDA JN,99.0,2.0,50.0
51809,Kanpur Tundla Passenger,CNB,KANPUR CENTRAL,TDL,TUNDLA JN,232.0,6.0,5.0
51810,Tundla Kanpur Passenger,TDL,TUNDLA JN,CNB,KANPUR CENTRAL,232.0,7.0,10.0
51811,Bina Jhansi Passenger,BINA,BINA JN,JHS,JHANSI JN,153.0,3.0,55.0
51812,Jhansi Bina Passenger,JHS,JHANSI JN,BINA,BINA JN,153.0,4.0,0.0
51813,Jhansi Lucknow Passenger,JHS,JHANSI JN,LKO,LUCKNOW,294.0,8.0,30.0
51814,Lucknow-Jhansi Passenger,LKO,LUCKNOW,JHS,JHANSI JN,294.0,7.0,45.0
51815,Jhansi Agra Passenger,JHS,JHANSI JN,AGC,AGRA CANTT,216.0,5.0,5.0
51818,BANDIKUI AGRA PASS,BKI,BANDIKUI JN,AF,AGRA FORT,150.0,3.0,45.0
51819,Jhansi Allahabad Passenger,JHS,JHANSI JN,ALD,ALLAHABAD JN,390.0,11.0,35.0
51821,JHANSI - KHUJURAHO Passenger,JHS,JHANSI JN,KURJ,KHAJURAHO,201.0,4.0,45.0
51822,KHUJURAHO - JHANSI Passenger,KURJ,KHAJURAHO,JHS,JHANSI JN,201.0,5.0,40.0
