train_number_clean,train_name,from_station_code,from_station_name,to_station_code,to_station_name,distance_km,duration_hours,duration_minutes
12856,Nagpur-Bilaspur InterCity,NGP,NAGPUR,BSP,BILASPUR JN,411.0,7.0,0.0
12857,Tamralipta Express,HWH,HOWRAH JN,DGHA,Digha Flag Station,189.0,3.0,20.0
12858,Tamralipta Express,DGHA,Digha Flag Station,HWH,HOWRAH JN,189.0,3.0,25.0
12859,MUMBAI CST - HOWRAH Gitanjali Exp,CSTM,MUMBAI CST,HWH,HOWRAH JN,1968.0,30.0,30.0
12860,HOWRAH - MUMBAI CST Gitanjali Exp,HWH,HOWRAH JN,CSTM,MUMBAI CST,1968.0,31.0,30.0
12861,Link Superfast Express,VSKP,VISHAKAPATNAM,NZM,DELHI H NIZAMUDDIN,2097.0,36.0,50.0
12862,LINK SUPERFAST EXPRESS,KZJ,KAZIPET JN,VSKP,VISHAKAPATNAM,567.0,11.0,0.0
12863,HOWRAH - YESVANTPUR SF Exp,HWH,HOWRAH JN,YPR,YESVANTPUR JN,1963.0,35.0,20.0
12864,YESVANTPUR - HOWRAH SF Exp,YPR,YESVANTPUR JN,HWH,HOWRAH JN,1963.0,34.0,35.0
12865,Lalmati Express,HWH,HOWRAH JN,PRR,PURULIA JN,340.0,5.0,45.0
12866,Lalmati Express,PRR,PURULIA JN,HWH,HOWRAH JN,340.0,5.0,45.0
12867,Howrah-Puducherry Express,HWH,HOWRAH JN,PDY,Puducherry,1907.0,33.0,20.0
12868,Puducherry-Howrah (Aurobindo) Express,PDY,Puducherry,HWH,HOWRAH JN,1907.0,33.0,55.0
12950,K SANTRAGANCHI - PORBANDAR Kavi Guru SF Exp,SRC,SANTRAGACHI JN,PBR,PORBANDAR,2658.0,47.0,35.0
12878,New Delhi-Ranchi Garib Rath,NDLS,NEW DELHI,RNC,RANCHI,1344.0,18.0,30.0
12987,Sealdah Ajmer Express,SDAH,KOLKATA SEALDAH,AII,AJMER JN,1642.0,27.0,25.0
12869,MUMBAI CST - HOWRAH SF Exp,CSTM,MUMBAI CST,HWH,HOWRAH JN,1968.0,32.0,25.0
12953,MumbaiCentral-H Nizamuddin August Kranti Rajdhani Express,BCT,Mumbai Central,NZM,DELHI H NIZAMUDDIN,1377.0,17.0,15.0
12905,PORBANDAR - HOWRAH SF Exp,PBR,PORBANDAR,HWH,HOWRAH JN,2551.0,45.0,15.0
12870,HOWRAH - MUMBAI CST SF Exp,HWH,HOWRAH JN,CSTM,MUMBAI CST,1968.0,32.0,55.0
12972,Bhavnagar Bandra Express,BVC,BHAVNAGAR TERMINUS,BDTS,MUMBAI BANDRA TERMINUS,778.0,14.0,5.0
12906,HOWRAH - PORBANDAR SF Exp,HWH,HOWRAH JN,PBR,PORBANDAR,2551.0,44.0,5.0
12871,HOWRAH - TITLAGARH Ispat Exp,HWH,HOWRAH JN,TIG,TITLAGARH,745.0,13.0,25.0
22823,BHUBANESWAR - NEW DELHI RAJDHANI Express,BBS,BHUBANESWAR,NDLS,NEW DELHI,1800.0,25.0,20.0
19106,Haridwar-Ahmedabad Mail,HW,HARIDWAR JN,ADI,AHMEDABAD JN,1207.0,25.0,30.0
22824,NEW DELHI - BHUBANESWAR Rajdhani Exp (Via Bokaro),NDLS,NEW DELHI,BBS,BHUBANESWAR,1800.0,24.0,10.0
51189,ITARSI - ALLAHABAD Passenger,ET,ITARSI JN,ALD,ALLAHABAD JN,612.0,25.0,35.0
51606,Chirmiri Katni Passenger,CHRM,Chirmiri,DMO,DAMOH,360.0,12.0,30.0
19115,MUMBAI BANDRA - BHUJ Sayaji Nagari Exp,BDTS,MUMBAI BANDRA TERMINUS,BHUJ,BHUJ,839.0,16.0,50.0
22161,Bhopal Damoh Rajya Rani exp,BPL,BHOPAL JN,DMO,DAMOH,291.0,5.0,15.0
51862,Konch Ait Passenger,KNH,Konch,AIT,AIT,13.0,0.0,35.0
51261,Amravati Wardha Passenger,AMI,Amravati,WR,WARDHA JN,101.0,2.0,50.0
51112,Dhule Chalisgaon Mix Passenger,DHI,Dhule,CSN,CHALISGAON JN,56.0,1.0,15.0
51820,Allahabad Jhansi Passenger,ALD,ALLAHABAD JN,JHS,JHANSI JN,390.0,11.0,50.0
51702,REWA - JABALPUR PASSENGER,REWA,REWA,JBP,JABALPUR,238.0,6.0,25.0
51673,ITARSI - SATNA Passenger,ET,ITARSI JN,STA,SATNA,434.0,8.0,40.0
51240,Betul Amla Passenger,BZU,BETUL,AMLA,AMLA JN,23.0,0.0,40.0
51885,BINA DAMOH PASS,BINA,BINA JN,DMO,DAMOH,152.0,3.0,50.0
51909,Delhi Shamli Saharanpur Passenger,DLI,OLD DELHI,SRE,SAHARANPUR,164.0,5.0,50.0
51613,KOTA - KATNI Passenger,KOTA,KOTA JN,KTE,KATNI,455.0,17.0,55.0
